title,year,genre,duration,country,director,humor,rhythm,effort,tension,vote,votes_total
Série noire,1979,Noir,111,France,Alain Corneau,1,2,1,3,7,22
Latcho Drom,1993,Documentary,103,France,Tony Gatlif,0,0,0,0,5,5
Romanze in Moll,1943,Drama,100,Germany,Helmut Käutner,0,0,0,0,7,5
Dans ma peau,2001,Drama,91,France,Marina de Van,0,2,2,2,7,20
Himmel ohne Sterne,1955,Drama,108,Germany,Helmut Käutner,0,0,0,0,7,4
Des Teufels General,1955,War,117,Germany,Helmut Käutner,0,0,0,0,7,5
The Criminal,1960,Drama,97,Great Britain,Joseph Losey,0,0,0,0,7,18
The Damned,1962,Drama,87,Great Britain,Joseph Losey,0,0,0,0,7,32
Steaming,1985,Drama,102,Great Britain,Joseph Losey,0,0,0,0,7,4
The Great Rock 'n' Roll Swindle,1980,Documentary,103,Great Britain,Julien Temple,0,0,0,0,7,9
Hardware,1990,Sci-Fi,93,Great Britain,Richard Stanley,1,3,2,3,6,45
Long Weekend,1978,Thriller,92,Australia,Colin Eggleston,0,2,1,3,6,13
Morgan: A Suitable Case for Treatment,1966,Comedy,97,Great Britain,Karel Reisz,3,3,1,1,7,22
Le grand jeu,1934,Drama,120,France,Jacques Feyder,0,0,0,0,5,3
La kermesse héroïque,1935,Drama,110,France,Jacques Feyder,0,0,0,0,7,8
L'Inhumaine,1924,Drama,135,France,Marcel L'Herbier,0,0,0,0,6,10
Gelegenheitsarbeit einer Sklavin,1973,Drama,91,Germany,Alexander Kluge,0,0,0,0,7,6
Der Starke Ferdinand,1976,Drama,97,Germany,Alexander Kluge,0,0,0,0,6,4
Boy Meets Girl,1984,Drama,100,France,Leos Carax,0,0,0,0,7,32
Mauvais sang,1986,Drama,116,France,Leos Carax,1,4,4,4,7,55
Kind Hearts and Coronets,1949,Comedy,106,Great Britain,Robert Hamer,1,1,1,1,8,58
Remorques,1941,Drama,81,France,Jean Grémillon,0,2,2,2,7,17
Night and the City,1950,Noir,101,Great Britain,Jules Dassin,1,2,2,2,8,48
Le trois couronnes du matelot,1983,Drama,117,France,Raoul Ruiz,0,0,0,0,9,13
Das Wachsfigurenkabinett,1924,Horror,65,Germany,Paul Leni,0,0,0,0,7,15
Sylvia,2003,Drama,110,Great Britain,Christine Jeffs,0,2,0,2,6,15
Romasanta,2004,Thriller,91,Spain,Francisco Plaza,0,0,0,0,4,14
Fauteuils d'orchestre,2006,Comedy,106,France,Danièle Thompson,1,2,1,0,6,23
Mon petit doigt m'a dit...,2005,Comedy,105,France,Pascal Thomas,1,2,0,2,5,31
La tourneuse de pages,2006,Drama,85,France,Denis Dercourt ,0,2,2,2,7,85
800 balas,2002,Comedy,124,Spain,Alex de la Iglesia,0,0,0,0,6,12
Agent trouble,1987,Thriller,90,France,Jean-Pierre Mocky,0,2,2,1,5,3
Dans Paris,2006,Drama,92,France,Christophe Honoré,0,0,0,0,5,7
Dr. Terror's House of Horrors,1964,Horror,93,Great Britain,Freddie Francis,0,2,0,3,6,47
The Night Caller,1965,Sci-Fi,78,Great Britain,John Gilling,1,3,0,3,6,13
Trauma,2004,Drama,93,Great Britain,Marc Evans,0,2,0,1,4,17
Monique,2002,Comedy,92,France,Valérie Guignabodet ,2,2,0,0,4,7
Mon idole,2002,Comedy,110,France,Guillaume Canet,2,2,0,1,4,9
A Private Function,1984,Comedy,94,Great Britain,Malcolm Mowbray,0,0,0,0,6,14
Morvern Callar,2002,Drama,97,Great Britain,Lynne Ramsay,0,0,0,0,6,6
Les jours où je n'existe pas,2003,Drama,112,France,Jean-Charles Fitoussi,0,2,0,1,7,6
Le temps qui reste,2005,Drama,85,France,François Ozon,0,2,3,1,7,33
La truite,1982,Drama,103,France,Joseph Losey,0,0,0,0,6,11
Fort Saganne,1984,Drama,180,France,Alain Corneau,0,0,0,0,7,8
L'été meurtrier,1983,Drama,130,France,Jean Becker,0,0,0,0,7,5
Camille Claudel,1988,Drama,175,France,Bruno Nuytten,0,0,0,0,7,7
Les enfants du siècle,1999,Drama,135,France,Diane Kurys,0,2,1,1,5,16
Irène,2002,Comedy,98,France,Ivan Calbérac,2,2,0,0,3,6
Comment je me suis disputé... (ma vie sexuelle),1996,Drama,178,France,Arnaud Desplechin,2,0,0,0,6,11
Geuddae geusaramdeul,2005,Drama,102,South Korea,Im Sang-soo,0,0,0,0,7,7
Le petit lieutenant,2005,Drama,110,France,Xavier Beauvois,0,0,0,0,8,6
Salinui chueok,2003,Thriller,129,South Korea,Joon-ho Bong,2,3,3,4,7,311
La fille seule,1995,Drama,90,France,Benoît Jacquot,0,1,1,1,7,6
La boîte noire,2005,Thriller,90,France,Richard Berry,0,2,0,2,5,17
Walkabout,1971,Drama,92,Australia,Nicolas Roeg,1,3,4,3,7,38
Der Heilige Berg,1926,Drama,100,Germany,Arnold Fanck,0,0,0,0,8,5
La chatte à deux têtes,2002,Drama,90,France,Jacques Nolot,0,0,0,0,7,3
The Road to Hong Kong,1962,Comedy,91,Great Britain,Norman Panama,2,2,0,0,4,4
Wicked Lady,1983,Adventure,98,Great Britain,Michael Winner,0,0,0,0,7,5
From Beyond the Grave,1973,Horror,94,Great Britain,Kevin Connor,1,1,0,1,6,22
NaPoLa,2004,Drama,110,Germany,Dennis Gansel,0,2,2,2,6,28
Dream Demon,1988,Horror,86,Great Britain,Harley Cokeliss,0,0,0,0,5,8
La gran aventura de Mortadelo y Filemón,2003,Comedy,105,Spain,Javier Fesser,0,0,0,0,5,6
L'antidote,2005,Comedy,107,France,Vincent De Brus,3,2,1,1,5,18
Dracula,1973,Horror,100,Great Britain,Dan Curtis,0,0,0,0,6,11
Les anges gardiens,1995,Comedy,110,France,Jean-Marie Poiré,0,0,0,0,4,3
Dirty Weekend,1993,Thriller,102,Great Britain,Michael Winner,0,0,0,0,5,3
Doppelgänger,1969,Sci-Fi,101,Great Britain,Robert Parrish,0,2,0,1,6,18
Les équilibristes,1992,Drama,120,France,Nikos Papatakis,0,2,3,2,8,3
She's Been Away,1989,Drama,103,Great Britain,Peter Hall,0,0,0,0,8,4
Twins of Evil,1971,Horror,87,Great Britain,John Hough,0,0,0,0,5,17
Torture Garden,1967,Horror,89,Great Britain,Freddie Francis,0,2,0,2,6,28
Blood Oath,1990,Drama,108,Australia,Stephen Wallace,0,0,0,0,5,3
Gwendoline,1984,Fantasy,105,France,Just Jaeckin,0,0,0,0,6,6
The Scarecrow of Romney Marsh,1964,Adventure,129,Great Britain,James Neilson,0,0,0,0,7,4
Juste avant la nuit,1971,Drama,100,France,Claude Chabrol,0,0,0,0,7,6
The Rainbow Thief,1990,Fantasy,87,Great Britain,Alejandro Jodorowsky,0,0,0,0,5,9
L'année des méduses,1984,Thriller,110,France,Christopher Frank,0,1,1,1,7,3
3615 code Père Noël,1990,Horror,87,France,René Manzor,0,0,0,0,6,15
Nicholas Nickleby,1947,Drama,108,Great Britain,Alberto Cavalcanti,0,0,0,0,5,6
Frog Dreaming,1986,Adventure,93,Australia,Brian Trenchard-Smith,0,0,0,0,5,9
Tom White,2004,Drama,106,Australia,Alkinos Tsilimidos,2,2,3,2,7,3
The Reptile,1966,Horror,86,Great Britain,John Gilling,0,0,0,0,6,3
Horrors of the Black Museum,1959,Horror,95,Great Britain,Arthur Crabtree,0,0,0,0,4,6
Abwärts,1984,Thriller,90,Germany,Carl Schenkel,0,0,0,1,8,32
Flic ou voyou,1979,Action,105,France,Georges Lautner,2,3,0,2,7,11
Das Arche Noah Prinzip,1984,Sci-Fi,100,Germany,Roland Emmerich,0,0,0,0,6,11
Knallharte Jungs,2002,Comedy,85,Germany,Granz Henman,2,2,0,0,4,11
Summer Holiday,1963,Musical,107,Great Britain,Peter Yates,0,0,0,0,4,3
The Survivor,1981,Drama,87,Australia,David Hemmings,0,0,0,0,6,8
Sweetie,1989,Drama,97,Australia,Jane Campion,1,1,1,1,7,28
Une pour toutes,1999,Comedy,120,France,Claude Lelouch,2,2,0,1,5,3
Taste of Fear,1961,Thriller,81,Great Britain,Seth Holt,0,0,0,0,7,22
Dominique,1978,Thriller,100,Great Britain,Michael Anderson,0,0,0,0,6,3
Appetite,1998,Horror,97,Great Britain,George Milton,0,2,0,2,4,6
Bibi Blocksberg und das Geheimnis der blauen Eulen,2004,Comedy,119,Germany,Franziska Buch,2,2,0,0,6,5
Taegukgi hwinalrimyeo,2004,War,140,South Korea,Kang Je-gyu,0,0,0,0,8,48
Le rideau cramoisi,1953,Comedy,44,France,Alexandre Astruc,0,0,0,0,7,12
Alien Autopsy,2006,Comedy,95,Great Britain,Jonny Campbell,3,2,2,1,6,37
The Magic Flute,2006,Musical,135,Great Britain,Kenneth Branagh,2,2,2,1,6,34
Knallhart,2006,Drama,98,Germany,Detlev Buck,2,2,3,2,8,3
Sunshine,2007,Sci-Fi,98,Great Britain,Danny Boyle,0,2,2,2,6,242
4 Inyong shiktak,2003,Horror,123,South Korea,Lee Su-yeon Lee,0,0,0,0,7,3
La vie promise,2002,Drama,93,France,Olivier Dahan,0,2,1,1,5,5
Para entrar a vivir,2006,Horror,68,Spain,Jaume Balagueró,0,0,0,0,7,37
Jjakpae,2006,Thriller,92,South Korea,Ryoo Seung-wan,1,2,1,1,6,10
Howling IV: The Original Nightmare,1988,Horror,94,Great Britain,John Hough,0,0,0,0,4,5
The Howling III,1987,Horror,94,Australia,Philippe Mora,0,0,0,0,6,3
Un parfum de Caraibes,2004,Comedy,97,France,Michael Perrotta,2,2,0,1,6,3
Head On,1998,Drama,104,Australia,Ana Kokkinos,0,0,0,0,6,7
The Key,1958,Drama,134,Great Britain,Carol Reed,0,0,0,0,6,3
The Shooting Party,1985,Drama,98,Great Britain,Alan Bridges,0,0,0,0,7,3
Deadlock,1970,Western,85,Germany,Roland Klick,0,0,0,0,5,3
Asylum,1972,Horror,88,Great Britain,Roy Ward Baker,0,0,0,0,6,12
Doomwatch,1972,Sci-Fi,92,Great Britain,Peter Sasdy,0,0,0,0,5,3
Reines d'un jour,2001,Comedy,96,France,Marion Vernoux,2,3,0,1,6,8
Two Deaths,1995,Drama,102,Great Britain,Nicolas Roeg,1,2,2,2,5,4
Attention bandits!,1986,Drama,111,France,Claude Lelouch,0,0,0,0,6,3
The Captain's Table,1959,Comedy,90,Great Britain,Jack Lee,0,0,0,0,4,6
Pleins feux sur l'assassin,1961,Thriller,95,France,Georges Franju,0,0,0,0,6,6
L'ivresse du pouvoir,2006,Comedy,110,France,Claude Chabrol,3,3,4,3,6,44
Princesas,2005,Drama,109,Spain,Fernando León de Aranoa,0,2,2,1,7,17
Jardins en automne,2006,Comedy,115,France,Otar Iosseliani,2,2,3,0,7,49
Fröken Julie,1951,Drama,90,Sweden,Alf Sjöberg,0,0,0,0,7,6
Forgotten,1999,Thriller,54,Great Britain,Ben Bolt,0,2,0,2,6,5
The Creeping Flesh,1973,Horror,94,Great Britain,Freddie Francis,0,0,0,0,5,13
Le concile de pierre,2006,Drama,102,France,Guillaume Nicloux,0,2,1,1,4,35
Geheimnisse einer Seele,1926,Drama,97,Germany,Georg Wilhelm Pabst,0,0,0,0,6,5
The Castle,1997,Comedy,82,Australia,Rob Sitch,3,2,0,2,7,15
The Sleeping Tiger,1954,Drama,89,Great Britain,Joseph Losey,0,0,0,0,8,11
Windom's Way,1957,Drama,108,Great Britain,Ronald Neame,0,2,1,1,5,6
Vanessa,1977,Drama,91,Germany,Hubert Frank,1,1,1,1,4,14
Azur et Asmar,2006,Animation,99,France,Michel Ocelot,2,3,3,0,7,34
Pumhaeng zero,2002,,99,South Korea,Jo Geun-shik,1,2,1,1,6,3
Thriller - en grym film,1973,Thriller,104,Sweden,Bo Arne Vibenius ,0,0,0,0,5,21
Therese und Isabell,1968,Drama,118,Germany,Radley Metzger,0,0,0,0,8,3
Schizo,1976,Horror,109,Great Britain,Pete Walker,0,0,0,0,6,10
Es ist ein Elch entsprungen,2005,Fantasy,90,Germany,Ben Verbong,0,0,0,0,5,4
Driving Lessons,2006,Comedy,98,Great Britain,Jeremy Brock,1,2,0,0,5,27
Changement d'adresse,2006,Comedy,85,France,Emmanuel Mouret,1,2,0,0,7,31
Tempo di violenza,1970,Thriller,93,France,Sergio Gobbi,0,0,0,0,4,3
Maîtresse,1976,Drama,112,France,Barbet Schroeder,0,0,0,0,6,11
Mon meilleur ami,2006,Comedy,94,France,Patrice Leconte,4,3,2,1,7,152
Skenbart - en film om tåg,2003,Thriller,100,Sweden,Peter Dalle,0,2,0,1,7,7
Chin-jeol-han Geum-ja-sshi,2005,Noir,112,South Korea,Chan-wook Park,0,2,3,3,7,238
Notes on a Scandal,2006,Drama,92,Great Britain,Richard Eyre,1,2,2,3,7,182
Les chevaliers du ciel,2005,Action,102,France,Gérard Pirès,0,2,0,2,4,22
Evil Aliens,2005,Sci-Fi,93,Great Britain,Jake West,0,0,0,0,5,7
Death of a President,2006,Drama,90,Great Britain,Gabriel Range,1,3,3,3,6,31
Total Khéops,2002,Noir,90,France,Alain Bévérini,0,3,0,3,6,4
Molière,2006,Comedy,120,France,Laurent Tirard,2,2,0,0,6,30
Mr. Bean's Holiday,2007,Comedy,90,Great Britain,Steve Bendelack,2,2,0,0,5,103
Das Leben der Anderen,2006,Drama,137,Germany,Florian Henckel von Donnersmarck,1,3,4,4,8,507
Selon Charlie,2005,Drama,135,France,Nicole Garcia,1,2,1,0,5,6
Goya's Ghosts,2006,Biography,106,Spain,Milos Forman,1,2,1,1,5,123
Un couple épatant,2002,Comedy,97,France,Lucas Belvaux,2,2,2,1,8,4
Une affaire privée,2002,Noir,107,France,Guillaume Nicloux,0,3,0,3,6,5
Salvador (Puig Antich),2006,Drama,125,Spain,Manuel Huerga,0,3,4,4,7,43
Quatre étoiles,2006,Comedy,100,France,Christian Vincent,3,3,0,0,6,12
Vier Minuten,2006,Drama,112,Germany,Chris Kraus,2,4,4,4,7,99
Irresistible,2006,Drama,102,Australia,Ann Turner,0,2,0,2,4,30
The History Boys,2006,Drama,104,Great Britain,Nicholas Hytner,2,2,2,1,6,41
Prinzessin macht blau,2004,Comedy,91,Germany,Oliver Schmitz,1,2,1,1,4,6
Strandvaskaren,2004,Horror,100,Sweden,Mikael Håfström,0,0,0,0,3,21
Les chansons d'amour,2007,Comedy,95,France,Christophe Honoré,0,0,0,0,7,13
Une vieille maÎtresse,2007,Drama,114,France,Catherine Breillat,0,0,0,0,6,6
Patrick,1979,Horror,112,Australia,Richard Franklin,0,3,0,3,5,17
Promise Me This,2007,Comedy,130,France,Emir Kusturica,3,4,3,2,6,24
Soom,2007,Drama,84,South Korea,Kim Ki-duk,2,4,4,3,6,82
Milyang,2007,Drama,142,South Korea,Chang-dong Lee,0,2,4,3,7,41
Boarding Gate,2007,Thriller,105,France,Olivier Assayas,0,2,3,3,5,7
Boxes,2007,Drama,100,France,Jane Birkin,0,1,3,0,7,4
Gunman in the Street,1950,Noir,88,France,Frank Tuttle,0,2,0,2,6,5
Paranoid,2000,Thriller,93,Great Britain,John Duigan,0,0,0,0,4,11
Rottweiler,2004,Horror,95,Spain,Brian Yuzna,0,0,0,0,6,17
Das Traumhotel - Verliebt auf Mauritius,2004,Comedy,90,Germany,Gloria Behrens,1,2,0,1,4,5
Le plus beau jour de ma vie,2004,Comedy,104,France,Julie Lipinski,3,2,0,1,6,13
Hors de prix,2006,Comedy,86,France,Pierre Salvadori,3,3,2,1,5,63
Die Augen del Mumie Ma,1918,Drama,43,Germany,Ernst Lubitsch,0,0,0,0,4,3
Sumurun,1920,Drama,103,Germany,Ernst Lubitsch,0,0,0,0,6,6
Sehnsucht,2006,Drama,88,Germany,Valeska Grisebach,1,2,2,3,6,7
Tears in the Rain,1988,Drama,98,Great Britain,Don Sharp,0,2,0,1,4,4
Les témoins,2006,Drama,110,France,André Téchiné,0,2,3,2,7,49
Confetti,2006,Comedy,100,Great Britain,Debbie Isitt,2,2,1,0,6,18
Die Nacht der lebenden Loser,2004,Comedy,89,Germany,Mathias Dinter,2,2,0,0,4,20
La naissance de l'amour,1993,Drama,94,France,Philippe Garrel,0,2,3,1,7,16
Scarabea - wieviel Erde braucht der Mensch?,1969,Drama,114,Germany,Hans-Jürgen Syberberg,0,0,0,0,7,4
Feed,2005,Thriller,90,Australia,Brett Leonard,1,2,0,1,4,22
Kubaner kussen besser,2005,Comedy,90,Germany,Thorsten Schmidt,1,2,1,1,5,7
Das Traumhotel - Sterne über Thailand,2004,Comedy,90,Germany,Otto Retzer,1,2,0,1,5,4
Open Water 2: Adrift,2006,Thriller,95,Germany,Hans Horn,1,3,2,3,4,104
La fille coupée en deux,2007,Drama,105,France,Claude Chabrol,1,2,1,2,6,84
Le grand rôle,2004,Drama,89,France,Steve Suissa,1,2,1,1,5,3
Das Traumhotel - Afrika,2007,Comedy,90,Germany,Otto Retzer,0,2,0,1,4,5
En la ciudad de Sylvia,2007,,90,Spain,José Luis Guerín,0,0,0,0,3,4
La Graine e le mulet,2007,Drama,151,France,Abdellatif Kechiche,1,2,2,2,6,155
Ladies in Lavender,2004,Drama,103,Great Britain,Charles Dance,0,0,0,0,6,38
Liebe in der Warteschleife,2006,Comedy,90,Germany,Dennis Satin,1,2,0,1,5,4
Ein Familienschreck kommt selten allein,2006,Comedy,90,Germany,Sybille Tafel,1,2,0,1,6,3
Ich klage an,1941,Drama,120,Germany,Wolfgang Liebeneiner,3,1,2,1,6,12
Verflixte begegnung im Mondschein,2006,Comedy,90,Germany,Dror Zahavi,4,4,3,2,6,4
Played,2006,Thriller,87,Great Britain,Sean Stanek,0,2,0,1,2,3
Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler,2007,Comedy,90,Germany,Dani Levy,2,2,1,0,5,34
Die weisse Massai,2005,Drama,131,Germany,Hermine Huntgeburth,0,2,2,1,3,8
Das Traumhotel - Dubai/Abu Dhabi,2006,Comedy,90,Germany,Dietmar Klein,1,2,0,1,3,3
Dialogue avec mon jardinier,2007,Comedy,109,France,Jean Becker,1,2,1,1,6,50
Once,2006,Comedy,88,Ireland,John Carney,1,3,1,1,6,128
Bilbao,1978,Thriller,93,Spain,Bigas Luna,0,1,1,1,7,11
Caniche,1979,Drama,90,Spain,Bigas Luna,0,0,0,0,6,7
Garage,2007,Comedy,85,Ireland,Lenny Abrahamson,2,2,3,1,6,63
Naissance des pieuvres,2007,Drama,85,France,Cèline Sciamma,0,0,0,0,7,13
Actrices,2007,Drama,107,France,Valeria Bruni Tedeschi,0,2,2,0,5,9
Les brigades du Tigre,2006,Adventure,125,France,Jérôme Cornuau,1,2,2,0,5,11
Flawless,2007,Thriller,100,Great Britain,Michael Radford,0,2,2,1,6,102
Tsunami,2005,Action,90,Germany,Winfried Oelsner,0,0,0,0,3,3
Hui Buh - Das Schlossgespenst,2006,Fantasy,103,Germany,Sebastian Niemann,2,2,0,0,5,15
Julia,2008,Thriller,144,France,Erick Zonca,0,2,1,2,6,21
A vot' bon coeur,2004,,93,France,Paul Vecchiali,2,2,1,2,6,8
L'Enquête corse,2004,Comedy,94,France,Alain Berbérian,2,2,0,0,4,15
Lisztomania,1975,Musical,103,Great Britain,Ken Russell,0,0,0,0,6,13
The Falls,1980,Sperimental,195,Great Britain,Peter Greenaway,2,2,3,0,7,16
L'étoile du nord,1982,Thriller,124,France,Pierre Granier-Deferre,0,0,0,0,6,6
Les Caïds,1972,Crime,91,France,Robert Enrico,0,2,1,2,6,4
Harte jungs,2000,Comedy,83,Germany,Marc Rothemund,1,2,0,0,4,8
Swimming Upstream,2003,Drama,114,Australia,Russell Mulcahy,0,2,1,2,6,23
Sheitan,2006,Comedy,94,France,Kim Chapiron,2,2,1,2,6,29
The Football Factory,2004,Thriller,91,Great Britain,Nick Love,0,1,1,1,7,7
Darling,1965,Drama,128,Great Britain,John Schlesinger,2,3,3,3,7,31
The Parole Officer,2001,Comedy,88,Great Britain,John Duigan,1,2,0,0,4,5
Goal II. Living the Dream,2007,Drama,115,Great Britain,Jaume Collet-Serra,0,2,0,1,3,35
Straightheads,2007,Horror,80,Great Britain,Dan Reed,0,0,0,0,6,11
9 Songs,2004,Drama,71,Great Britain,Michael Winterbottom,1,2,1,1,4,32
Les enfants terribles,1950,Drama,105,France,Jean-Pierre Melville,0,0,0,0,7,32
Wilderness,2006,Horror,93,Great Britain,Michael J. Bassett,0,2,0,2,6,10
Choses secrètes,2002,Drama,115,France,Jean-Claude Brisseau,0,0,0,0,6,8
Le Renard et l'enfant,2007,Adventure,92,France,Luc Jacquet,0,2,0,2,6,74
Un baiser s'il vous plaît,2007,Comedy,97,France,Emmanuel Mouret,2,1,0,2,6,39
And Soon the Darkness,1970,Horror,94,Great Britain,Robert Fuest,0,2,0,2,6,25
Banlieue 13,2004,Action,85,France,Pierre Morel,0,2,0,1,6,79
The Violent Enemy,1967,Thriller,94,Great Britain,Don Sharp,0,0,0,0,6,4
Psychomania,1973,Horror,95,Great Britain,Don Sharp,0,0,0,0,5,4
Tell me Sam - Encounters with Sam Fuller,1989,Documentary,57,France,Emil Weiss,0,0,0,0,7,5
The Rolling Stones Rock and Roll Circus,1996,Documentary,65,Great Britain,Michael Lindsay-Hogg,0,0,0,0,8,3
Clubland,2007,Comedy,105,Australia,Cherie Nowlan,2,3,0,0,6,22
MR 73,2008,Crime,121,France,Olivier Marchal,1,3,4,3,7,196
I Capture the Castle,2003,Drama,113,Great Britain,Tim Fywell,1,2,1,1,6,10
Après Mein Kampf mes crimes,1940,Documentary,84,France,Alexandre Ryder,0,2,3,1,7,5
The Killing of John Lennon,2006,Drama,114,Great Britain,Andrew Piddington,0,2,1,2,6,6
A Kind of Loving,1962,Drama,107,Great Britain,John Schlesinger,0,0,0,0,7,8
Flandersui gae,2000,Comedy,106,South Korea,Joon-ho Bong,1,1,1,1,7,44
Yeui-eomneun geotdeul,2006,Action,113,South Korea,Cheol-hie Park,0,0,0,0,8,4
Jigureul jikyeora!,2003,Comedy,118,South Korea,Joon-Hwan Jang,0,0,0,0,5,8
Boy A,2007,Drama,100,Great Britain,John Crowley,0,2,1,2,7,32
99 francs,2007,Comedy,100,France,Jan Kounen,0,0,0,0,5,5
This Is England,2006,Drama,101,Great Britain,Shane Meadows,1,3,4,2,7,184
Cashback,2006,Comedy,102,Great Britain,Sean Ellis,0,0,0,0,5,18
Chrysalis,2007,Thriller,94,France,Julien Leclercq,0,2,1,2,5,23
Dr. Plonk,2007,Comedy,85,Australia,Rolf de Heer,4,3,2,1,6,19
The Bank Job,2008,Action,110,Great Britain,Roger Donaldson,1,2,1,2,6,150
On ne meurt que 2 fois,1985,Thriller,105,France,Jacques Deray,0,3,0,2,6,5
N'oublie pas que tu vas mourir,1995,Drama,117,France,Xavier Beauvois,0,2,3,2,6,15
Un conte de Noël,2008,Comedy,150,France,Arnaud Desplechin,0,2,2,2,7,89
La frontière de l'aube,2008,Drama,100,France,Philippe Garrel,0,0,0,0,8,6
Wolke Neun,2008,Romantic,98,Germany,Andreas Dresen,1,2,4,3,6,40
Happy-Go-Lucky,2008,Comedy,118,Great Britain,Mike Leigh,4,3,4,3,6,135
Mit einem Rutsch ins Glück,2003,Comedy,90,Germany,Dietmar Klein,1,2,0,1,7,3
Miss Pettigrew Lives for a Day,2007,Comedy,92,Great Britain,Bharat Nalluri,1,1,0,0,6,40
Taken,2008,Action,93,France,Pierre Morel,2,3,1,3,5,235
L'heure d'été,2008,Drama,100,France,Olivier Assayas,0,2,0,0,6,34
Serko,2006,Drama,96,France,Joël Farges,0,2,1,2,5,6
Dr. Jekyll and Mr. Hyde,2002,Thriller,120,Great Britain,Maurice Phillips,0,2,0,2,5,5
Entre les murs,2008,Comedy,128,France,Laurent Cantet,2,4,4,2,7,211
Låt den rätte komma,2008,Horror,114,Sweden,Tomas Alfredson,0,2,2,2,7,347
Maléfique,2002,Fantasy,90,France,Eric Valette,0,0,0,0,6,13
Shrooms,2006,Horror,84,Ireland,Paddy Breathnach,0,2,0,3,3,56
Filles uniques,2003,Comedy,85,France,Pierre Jolivet,0,0,0,0,7,3
Le Convoyeur,2004,Drama,95,France,Nicolas Boukhrief,0,2,0,2,7,18
RRRrrrr!!!,2004,Comedy,94,France,Alain Chabat,0,0,0,0,4,3
Gomez & Tavarès,2003,Action,109,France,Gilles Paquet-Brenner,0,2,0,1,4,5
Somersault,2004,Drama,106,Australia,Cate Shortland,0,2,3,1,5,13
Vénus et Fleur,2004,Drama,76,France,Emmanuel Mouret,0,0,0,0,3,5
La Vallée,1972,Action,106,France,Barbet Schroeder,0,2,2,0,5,9
El Cant dels ocells,2008,Drama,99,Spain,Albert Serra,2,2,0,2,8,20
De la guerre,2007,,130,France,Bertrand Bonello,2,2,3,2,7,13
De ofrivilliga,2008,Comedy,98,Sweden,Ruben Östlund,0,0,0,0,6,13
Hunger,2008,Drama,90,Great Britain,Steve McQueen (I),0,3,4,4,7,253
Chugyeogja,2008,Action,123,South Korea,Hong-jin Na,1,3,2,3,7,127
Joheunnom nabbeunnom isanghannom,2008,Western,120,South Korea,Kim Ji-woon,3,4,1,0,6,90
Sans soleil,1982,Documentary,100,France,Chris Marker,0,0,0,0,8,22
Level Five,1997,Documentary,106,France,Chris Marker,0,0,0,0,6,4
16 Years of Alcohol,2003,Thriller,102,Great Britain,Richard Jobson,0,2,2,1,6,11
Churchill: The Hollywood Years,2004,Comedy,84,Great Britain,Peter Richardson,4,3,2,2,4,9
RocknRolla,2008,Comedy,114,Great Britain,Guy Ritchie,2,3,1,2,6,160
Avant que j'oublie,2007,Drama,108,France,Jacques Nolot,0,0,0,0,8,4
Ca$h,2008,Gangster,100,France,Eric Besnard,1,2,0,1,5,41
Perfect Strangers,2004,Comedy,120,Great Britain,Robin Shepperd,1,2,0,1,4,5
Der Sieg des Glaubens,1933,Documentary,55,Germany,Leni Riefenstahl,0,2,3,2,6,19
Tote Taube in der Beethovenstrasse,1973,Spy,98,Germany,Samuel Fuller,0,2,0,2,7,8
Die Welle,2008,Drama,101,Germany,Dennis Gansel,1,3,4,3,6,239
Chuecatown,2007,Comedy,93,Spain,Juan Flahn,0,0,0,0,6,4
White Material,2008,Drama,102,France,Claire Denis,0,2,3,2,7,19
Paris,2008,Comedy,130,France,Cédric Klapisch,1,2,1,1,6,47
Le voyage du ballon rouge,2007,Drama,113,France,Hou Hsiao-hsien,0,0,0,0,6,3
Le prix à payer,2007,Comedy,95,France,Alexandra Leclère,1,2,0,1,5,8
Dante 01,2008,Sci-Fi,103,France,Marc Caro,0,2,0,2,5,53
Run Fatboy Run,2007,Comedy,100,Great Britain,David Schwimmer,2,2,0,0,5,14
Verführung in 6 Gängen,2004,Romantic,100,Germany,Ariane Zeller,1,2,0,0,4,3
Brideshead Revisited,2008,Drama,135,Great Britain,Julian Jarrold,1,3,3,4,5,34
Schatz der weissen Falken,2005,Adventure,89,Germany,Christian Zübert,0,2,0,1,6,4
Unser Kindermädchen ist ein Millionär,2006,Comedy,88,Germany,Bettina Woernle,1,2,0,1,6,3
Lady Chatterley,1993,Drama,205,Great Britain,Ken Russell,0,0,0,0,6,9
Big City,2007,Western,100,France,Djamel Bensalah,1,2,3,1,6,11
Geschlecht in Fesseln - Die Sexualnot der Gefangenen,1928,Drama,106,Germany,William Dieterle,0,2,3,1,7,11
Dead Man's Shoes,2004,Drama,90,Great Britain,Shane Meadows,1,3,2,4,7,67
La belle captive,1983,Drama,90,France,Alain Robbe-Grillet,0,0,0,0,6,10
La belle et la bête,1946,Drama,96,France,Jean Cocteau,0,2,2,1,8,42
Sixty Six,2006,Comedy,93,Great Britain,Paul Weiland,2,1,0,1,6,10
Demandez la permission aux enfants,2007,Comedy,96,France,Eric Civanyan,1,2,0,0,4,3
Schüleraustausch - Die Französinnen kommen,2006,Comedy,92,Germany,Konrad Sattler,1,2,0,0,4,3
